code,municipio.x,depto,part,part_18,Gustavo Petro_22,Rodolfo Hernández_22,Federico Gutiérrez_22,Sergio Fajardo_22,John Milton Rodríguez_22,Enrique Gómez Martínez_22,Luis Pérez_22,Gustavo Petro_18,Iván Duque_18,Sergio Fajardo_18,Germán Vargas Lleras_18,Humberto De La Calle_18,Jorge Antonio Trujillo_18,Viviane Morales_18,dif_part,codigo_municipio,municipio.y,codigo_departamento,departamento,pdet,statecap,gini,IPM,pib_percapita_mill,g_terreno,capital,l_31_82,c_31_82,pob_total_2018,porc_rural_2018,p_petro_2022,p_hernandez_2022,p_gutierrez_2022,...1,Gustavo Petro_18_pc,Iván Duque_18_pc,Sergio Fajardo_18_pc,Germán Vargas Lleras_18_pc,Humberto De La Calle_18_pc,Jorge Antonio Trujillo_18_pc,Viviane Morales_18_pc,Gustavo Petro_22_pc,Rodolfo Hernández_22_pc,Federico Gutiérrez_22_pc,Sergio Fajardo_22_pc,John Milton Rodríguez_22_pc,Enrique Gómez Martínez_22_pc,Luis Pérez_22_pc,gana_petro2,max_pc_18,gana_petro18,max_pc_22,gana_petro22,ganaPetro2,part_crecio_above_average,diff_petro_rodolfo,diff_petro_rodolfo_abs
08832,Tubará,Atlántico,52.03,50.5,2936,471,1690,88,16,7,0,1877,1205,307,1377,120,18,6,1.5300000000000011,8832,TUBARÃÂÃÂ,8,AtlÃ¡ntico,No,1,0.4073,67.98301,8.1933022,0.88056999,0,1,No,17377,0.4950797030557634,0.56374806,0.090437785,0.32450077,146,37.9,24.3,6.2,27.8,2.4,0.4,0.1,55.8,8.9,32.1,1.7,0.3,0.1,0,1,37.9,1,55.8,1,1,0,46.9,46.9
08520,Palmar de Varela,Atlántico,45.16,44.6,6426,694,2467,131,61,28,3,4178,1687,464,2327,395,13,7,0.5599999999999952,8520,PALMAR DE VARELA,8,AtlÃ¡ntico,No,0,0.44049999,64.38813,6.0327268,0.59263003,0,0,No,28932,0.0416148209594912,0.65504587,0.070744142,0.25147808,134,45.5,18.4,5.1,25.3,4.3,0.1,0.1,64.3,6.9,24.7,1.3,0.6,0.3,0,1,45.5,1,64.3,1,1,0,57.4,57.4
08685,Santo Tomás,Atlántico,46.1,46.6,8082,1211,2548,254,78,31,3,6034,3308,1000,1670,242,21,13,-0.5,8685,SANTO TOMÃÂÃÂS,8,AtlÃ¡ntico,No,1,0.44049999,54.64899,5.2492933,0.81146997,0,0,No,29829,0.0581313486875189,0.66207916,0.099205375,0.20873269,143,48.3,26.5,8,13.4,1.9,0.2,0.1,65,9.7,20.5,2,0.6,0.2,0,1,48.3,1,65,1,1,0,55.3,55.3
08634,Sabanagrande,Atlántico,46.68,50.9,7104,1435,2484,201,162,70,3,5055,2793,775,2777,242,84,21,-4.219999999999999,8634,SABANAGRANDE,8,AtlÃ¡ntico,No,1,0.44049999,61.53438,4.9117117,0.70011997,0,1,No,32334,0.049328879816911,0.6199494,0.12522908,0.21677284,140,42.3,23.4,6.5,23.3,2,0.7,0.2,60.8,12.3,21.2,1.7,1.4,0.6,0,1,42.3,1,60.8,1,1,0,48.5,48.5
08573,Puerto Colombia,Atlántico,49.75,49.1,9565,2631,5101,551,82,34,8,5980,4564,1862,3737,466,43,23,0.6499999999999986,8573,PUERTO COLOMBIA,8,AtlÃ¡ntico,No,1,0.4339,42.33793,4.5397,0.84762001,0,1,No,49264,0.1311505358882754,0.53221679,0.14639439,0.2838304,138,35.4,27,11,22.1,2.8,0.3,0.1,52.4,14.4,27.9,3,0.4,0.2,0,1,35.4,1,52.4,1,1,0,38,38
08296,Galapa,Atlántico,41.42,43.8,11236,2234,2889,306,150,24,8,6836,3767,1324,4176,195,92,89,-2.3799999999999955,8296,GALAPA,8,AtlÃ¡ntico,No,1,0.4339,78.30475,2.9617662,0.72356999,0,1,No,60708,0.0748006852474138,0.66694367,0.13260521,0.17148453,129,40.7,22.4,7.9,24.9,1.2,0.5,0.5,65.7,13.1,16.9,1.8,0.9,0.1,0,1,40.7,1,65.7,1,1,0,52.6,52.6
08078,Baranoa,Atlántico,49.12,50,14545,2814,6127,396,171,42,11,8889,4382,1346,7825,480,71,75,-0.8800000000000026,8078,BARANOA,8,AtlÃ¡ntico,No,1,0.44049999,72.92408,6.603611,0.70521998,0,0,No,62382,0.170754384277516,0.60337675,0.11673442,0.25416908,126,38.1,18.8,5.8,33.5,2.1,0.3,0.3,59.3,11.5,25,1.6,0.7,0.2,0,1,38.1,1,59.3,1,1,0,47.8,47.8
05045,Apartadó,Antioquia,48.66,46.9,25695,11296,8352,1119,872,82,43,16767,15293,6654,1398,667,200,96,1.759999999999998,5045,APARTADÃÂÃÂ,5,Antioquia,SÃ­,1,0.51359999,52.43333999999999,6.1229777,NA,0,1,No,121003,0.186350751634257,0.54141468,0.23801596,0.17598347,12,39.3,35.9,15.6,3.3,1.6,0.5,0.2,52.8,23.2,17.1,2.3,1.8,0.2,0.1,1,39.3,1,52.8,1,1,0,29.599999999999998,29.599999999999998
05837,Turbo,Antioquia,39.55,40.7,19587,8464,5254,839,675,124,30,13132,11967,2491,4316,569,212,154,-1.1500000000000057,5837,TURBO,5,Antioquia,SÃ­,1,0.51359999,78.22318,7.6111345,NA,0,1,No,124552,0.6083001477294624,0.56006062,0.24201527,0.15023018,112,38.9,35.4,7.4,12.8,1.7,0.6,0.5,54.5,23.6,14.6,2.3,1.9,0.3,0.1,1,38.9,1,54.5,1,1,0,30.9,30.9
08433,Malambo,Atlántico,40.9,47,23869,3693,6416,539,376,56,11,16580,9593,2288,7761,470,165,77,-6.100000000000001,8433,MALAMBO,8,AtlÃ¡ntico,No,1,0.4339,62.49717,5.8490009,0.73435003,0,0,No,128203,0.0649360779388938,0.68275172,0.10563501,0.18352403,132,44.1,25.5,6.1,20.6,1.3,0.4,0.2,67.3,10.4,18.1,1.5,1,0.1,0,1,44.1,1,67.3,1,1,0,56.9,56.9
